Date,Actividades.Primarias,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/4/2006,79.75306968,95.35538996,82.97548588,112.8161134,91.29165397,91.22716087,76.20902202,3.19501793
1/5/2006,95.99230403,100.166735,89.16595179,115.9569625,99.44432833,90.26312382,82.28569855,2.83926121
1/6/2006,101.920463,99.05763722,86.64664686,110.6009011,99.06238976,90.90787022,84.87290701,3.25883338
1/7/2006,87.69177471,97.79372577,83.25095894,111.3775501,94.36216901,94.32894792,87.00677136,4.00741845
1/8/2006,70.6104124,100.9837984,85.38436282,113.3963558,98.4476949,97.28103018,87.45855658,3.87206043
1/9/2006,65.37654348,99.37283956,82.73375981,109.5406879,96.43282985,98.57370323,86.31856462,3.99579567
1/10/2006,82.29201242,101.065449,86.90689806,111.5140982,99.62678976,97.30582721,85.51722395,3.81798355
1/11/2006,111.7595289,98.32294664,86.1946295,107.7755311,97.48489827,94.27041788,82.59410179,3.50289521
1/12/2006,127.5878639,95.66890306,86.39038621,106.1342037,90.96169847,98.99824312,79.38790111,3.31665699
1/1/2007,103.2022318,97.32462088,83.39236218,113.1572512,94.04284742,92.51044806,81.0201453,4.04674987
1/2/2007,91.06584464,93.92754018,81.05489051,103.3492489,91.46879994,93.36612972,78.13894121,4.05167076
1/3/2007,80.47180475,102.3145794,86.03808271,115.2733205,100.3481415,97.91949814,83.62663896,3.72676021
1/4/2007,83.44338207,96.64861816,85.62346252,110.4119509,93.13385462,94.14431727,81.12678456,3.51300819
1/5/2007,100.2916636,100.6420521,90.57758192,112.3524,100.2688091,92.92811806,87.49680098,3.15085674
1/6/2007,111.5496075,99.939546,89.1362083,111.6203629,99.74842424,91.45737941,88.82199273,3.28199333
1/7/2007,94.31038633,99.20348531,87.01835286,112.8765054,94.91778353,96.92589163,91.12466136,3.79006856
1/8/2007,75.8382381,100.1828994,88.70199175,102.8025792,100.5467682,98.63328883,91.64485167,3.8310352
1/9/2007,66.04179033,99.36948977,85.26431233,107.6055835,95.35573762,101.7852126,90.83601526,3.76169547
1/10/2007,87.97235518,103.2958338,91.28000636,108.366196,101.5171321,104.8659701,90.32074572,3.77112469
1/11/2007,129.3898193,98.23053059,89.60645242,102.2819412,95.73706653,102.0648893,86.38681554,3.35402533
1/12/2007,110.0116088,96.95519689,89.12114068,107.0220856,88.35714318,108.4461504,83.15326807,3.10613687
1/1/2008,104.5406612,98.4140065,86.20442768,108.7261051,94.84366443,99.22166398,83.36254607,4.11706185
1/2/2008,88.11234125,96.94031393,84.7006185,101.9501628,94.25960508,100.5515105,83.65033808,3.88859328
1/3/2008,76.0900594,97.25386475,85.23766763,107.0124071,93.54017261,98.46630957,84.32465873,3.61456657
1/4/2008,85.97136723,100.2676566,92.13026559,101.1115251,99.56236391,104.0945788,84.74074083,3.47955511
1/5/2008,105.9371524,99.57943052,91.73673957,105.2429007,97.32153868,101.0014805,89.59539607,3.29491468
1/6/2008,108.3442381,99.22912315,91.15464676,102.8918869,97.05213708,102.2057389,90.13598204,3.36795461
1/7/2008,99.34700631,99.11790844,91.19559877,104.0033379,94.49084088,105.9082529,91.19697349,4.13338526
1/8/2008,67.55143423,98.25707065,89.01373672,103.7075333,95.92428294,99.13265247,92.78185621,4.05671164
1/9/2008,64.13307813,97.19809717,88.30085062,98.49847306,95.97348162,100.1463715,89.35608366,4.14089721
1/10/2008,89.3707924,101.7996458,92.38681336,104.5370413,99.92388013,105.8718996,88.46452125,4.17178615
1/11/2008,121.7278934,94.39428591,89.26499453,99.72094,91.1784842,98.17871182,84.39771817,4.32293494
1/12/2008,125.2413032,93.1152355,89.54943726,102.0255718,85.51035619,103.6323495,79.12414161,4.02480419
1/1/2009,103.7931385,90.1094698,81.10227836,103.8217928,82.48627911,95.11203754,80.97026335,5.00904125
1/2/2009,81.45283165,85.55696479,79.83559443,93.30902838,80.1472468,90.90606341,79.49979259,5.23817316
1/3/2009,79.30490871,90.92574674,85.04687862,102.8443419,84.63278859,94.1318867,85.13103913,4.66487867
1/4/2009,88.78047511,88.45400144,81.8275496,98.64948506,81.8985787,93.61366661,83.88457744,5.05535586
1/5/2009,100.3716133,89.43019188,83.53657709,101.4308981,81.38247885,95.3005475,88.5595784,5.23171387
1/6/2009,107.9747108,89.34387345,86.55492478,95.56645279,83.44597381,95.66289187,90.85987746,4.97563651
1/7/2009,92.77636079,92.03559384,86.7273856,98.04664847,85.61053475,99.6045143,93.91727412,5.82153796
1/8/2009,69.68594943,90.78202482,85.0994745,97.30906653,85.82335658,94.23298764,95.16943231,6.14570455
1/9/2009,64.02743191,91.46259584,84.93425993,95.2644866,87.29633509,96.27676466,93.60156725,6.41981154
1/10/2009,82.68395425,95.44518992,89.18897351,98.78415216,93.17101333,97.53997081,93.28378811,5.67001668
1/11/2009,120.2902707,92.24637799,89.24173885,94.05531484,91.13925975,93.79094844,87.72346063,5.10901165
1/12/2009,119.7873446,91.89248136,90.42857455,97.81383112,87.06311378,98.30162111,83.10205458,4.72919858
1/1/2010,93.17137286,92.9820536,83.21684837,102.5697146,85.71375162,100.9780518,84.74242079,5.76104202
1/2/2010,88.00397218,88.69724222,83.19619274,93.52256644,86.18293783,90.74124787,82.29725289,5.28089391
1/3/2010,77.41031606,96.82756859,90.57069293,103.3616906,96.02284705,94.06664605,88.13488071,4.74399195
1/4/2010,94.54096369,94.77862463,88.09519801,99.31647921,91.66580589,98.63217781,87.08036667,5.34734688
1/5/2010,108.8609244,95.14442484,89.91526046,103.4072137,93.41360179,91.46034829,92.6392658,4.99547176
1/6/2010,109.5311012,95.10319636,91.38917677,98.74737427,94.93572523,91.88166846,95.62745038,4.92164306
1/7/2010,98.28933084,95.19346752,90.46701753,98.7388545,92.13523043,97.13550262,101.0934224,5.58516833
1/8/2010,73.33307483,95.68530905,90.234055,99.92886454,95.5555684,91.49162092,97.8007651,5.41578641
1/9/2010,71.46728582,95.02187015,89.0852257,97.14963154,94.09678868,94.41332233,97.75130709,5.65759828
1/10/2010,84.73511487,97.46939231,92.32948332,98.74361803,96.36130975,98.88914851,96.10348319,5.48130608
1/11/2010,124.819097,95.40901537,94.82053257,94.58555596,95.7851569,96.11126829,91.84576134,5.17235956
