"item_id","timestamp ","demand"
"Salarios",2007-06-01,90.3765
"Salarios",2007-07-01,89.9943
"Salarios",2007-08-01,89.6291
"Salarios",2007-09-01,88.9386
"Salarios",2007-10-01,88.5933
"Salarios",2007-11-01,87.9727
"Salarios",2007-12-01,87.6105
"Salarios",2008-01-01,90.7031
"Salarios",2008-02-01,90.4342
"Salarios",2008-03-01,89.7835
"Salarios",2008-04-01,89.5797
"Salarios",2008-05-01,89.6765
"Salarios",2008-06-01,89.307
"Salarios",2008-07-01,88.812
"Salarios",2008-08-01,88.3021
"Salarios",2008-09-01,87.7044
"Salarios",2008-10-01,87.1108
"Salarios",2008-11-01,86.1318
"Salarios",2008-12-01,85.5394
"Salarios",2009-01-01,89.2864
"Salarios",2009-02-01,89.0897
"Salarios",2009-03-01,88.5801
"Salarios",2009-04-01,88.2711
"Salarios",2009-05-01,88.529
"Salarios",2009-06-01,88.3663
"Salarios",2009-07-01,88.1262
"Salarios",2009-08-01,87.9159
"Salarios",2009-09-01,87.4771
"Salarios",2009-10-01,87.2132
"Salarios",2009-11-01,86.7632
"Salarios",2009-12-01,86.4056
"Salarios",2010-01-01,89.6225
"Salarios",2010-02-01,89.1071
"Salarios",2010-03-01,88.4789
"Salarios",2010-04-01,88.7618
"Salarios",2010-05-01,89.3246
"Salarios",2010-06-01,89.3526
"Salarios",2010-07-01,89.159
"Salarios",2010-08-01,88.912
"Salarios",2010-09-01,88.4484
"Salarios",2010-10-01,87.9057
"Salarios",2010-11-01,87.207
"Salarios",2010-12-01,86.7771
"Salarios",2011-01-01,89.9023
"Salarios",2011-02-01,89.5663
"Salarios",2011-03-01,89.3948
"Salarios",2011-04-01,89.4019
"Salarios",2011-05-01,90.0659
"Salarios",2011-06-01,90.0704
"Salarios",2011-07-01,89.6403
"Salarios",2011-08-01,89.4987
"Salarios",2011-09-01,89.2797
"Salarios",2011-10-01,88.6813
"Salarios",2011-11-01,87.7324
"Salarios",2011-12-01,87.0173
"Salarios",2012-01-01,90.0369
"Salarios",2012-02-01,89.8543
"Salarios",2012-03-01,89.8027
"Salarios",2012-04-01,90.0853
"Salarios",2012-05-01,90.3706
"Salarios",2012-06-01,89.9559
"Salarios",2012-07-01,89.4536
"Salarios",2012-08-01,89.186
"Salarios",2012-09-01,88.7946
"Salarios",2012-10-01,88.3477
"Salarios",2012-11-01,87.7515
"Salarios",2012-12-01,87.912
"Salarios",2013-01-01,90.9752
"Salarios",2013-02-01,90.5296
"Salarios",2013-03-01,89.8702
"Salarios",2013-04-01,89.8108
"Salarios",2013-05-01,90.1107
"Salarios",2013-06-01,90.1655
"Salarios",2013-07-01,90.1954
"Salarios",2013-08-01,89.9395
"Salarios",2013-09-01,89.6022
"Salarios",2013-10-01,89.178
"Salarios",2013-11-01,88.3544
"Salarios",2013-12-01,87.8505
"Salarios",2014-01-01,90.4654
"Salarios",2014-02-01,90.2368
"Salarios",2014-03-01,89.9903
"Salarios",2014-04-01,90.1585
"Salarios",2014-05-01,90.4477
"Salarios",2014-06-01,90.2913
"Salarios",2014-07-01,90.0436
"Salarios",2014-08-01,89.7214
"Salarios",2014-09-01,89.3269
"Salarios",2014-10-01,88.8357
"Salarios",2014-11-01,88.1249
"Salarios",2014-12-01,87.6952
"Salarios",2015-01-01,91.4553
"Salarios",2015-02-01,91.2821
"Salarios",2015-03-01,90.9119
"Salarios",2015-04-01,92.3885
"Salarios",2015-05-01,92.8522
"Salarios",2015-06-01,92.6968
"Salarios",2015-07-01,92.5611
"Salarios",2015-08-01,92.3662
"Salarios",2015-09-01,92.0215
"Salarios",2015-10-01,92.6608
"Salarios",2015-11-01,92.1577
"Salarios",2015-12-01,91.7837
"Salarios",2016-01-01,95.2753
"Salarios",2016-02-01,94.8599
"Salarios",2016-03-01,94.7204
"Salarios",2016-04-01,95.0213
"Salarios",2016-05-01,95.4469
"Salarios",2016-06-01,95.3418
"Salarios",2016-07-01,95.0939
"Salarios",2016-08-01,94.8266
"Salarios",2016-09-01,94.2511
"Salarios",2016-10-01,93.6825
"Salarios",2016-11-01,92.9558
"Salarios",2016-12-01,92.5294
"Salarios",2017-01-01,99.6963
"Salarios",2017-02-01,99.1235
"Salarios",2017-03-01,98.519
"Salarios",2017-04-01,98.398
"Salarios",2017-05-01,98.5158
"Salarios",2017-06-01,98.2688
"Salarios",2017-07-01,97.8986
"Salarios",2017-08-01,97.4172
"Salarios",2017-09-01,97.1133
"Salarios",2017-10-01,96.506
"Salarios",2017-11-01,95.5212
"Salarios",2017-12-01,104.8305
"Salarios",2018-01-01,104.2765
"Salarios",2018-02-01,103.8808
"Salarios",2018-03-01,103.5459
"Salarios",2018-04-01,103.8981
"Salarios",2018-05-01,104.0668
"Salarios",2018-06-01,103.6664
"Salarios",2018-07-01,103.1137
"Salarios",2018-08-01,102.5156
"Salarios",2018-09-01,102.0839
"Salarios",2018-10-01,101.5576
"Salarios",2018-11-01,100.7009
"Salarios",2018-12-01,100
"Salarios",2019-01-01,116.1072
"Precios.EUA",2005-01-01,190.7
"Precios.EUA",2005-02-01,191.8
"Precios.EUA",2005-03-01,193.3
"Precios.EUA",2005-04-01,194.6
"Precios.EUA",2005-05-01,194.4
"Precios.EUA",2005-06-01,194.5
"Precios.EUA",2005-07-01,195.4
"Precios.EUA",2005-08-01,196.4
"Precios.EUA",2005-09-01,198.8
"Precios.EUA",2005-10-01,199.2
"Precios.EUA",2005-11-01,197.6
"Precios.EUA",2005-12-01,196.8
"Precios.EUA",2006-01-01,198.3
"Precios.EUA",2006-02-01,198.7
"Precios.EUA",2006-03-01,199.8
"Precios.EUA",2006-04-01,201.5
