"","InflacionNacional","Salarios","Precios.EUA","Tipo.de.cambio","Industria.EUA","Actividades.Primarioas","Actividades.Secundarias","Actividades.Terciarias","Mineria","Manufactura","Construccion","Energia","Desempleo","Billetes.y.monedas","Ingreso.Mexico","TIIE28","TIIE91"
"01/07/2011",4.32434596780709,4.49580499564734,5.42018980695691,2.45753545299187,4.53560111281454,4.57848902434146,4.58160909171934,4.54087288631428,4.59862379525369,4.54753663415855,4.62383757404594,4.63858458082214,1.70057914332539,20.2857775747996,4.55616865854802,1.57277392806251,1.5810384379124
"01/08/2011",4.32592647712434,4.49422410003565,5.42294360068641,2.4990314238334,4.54138338224019,4.34659918203255,4.59717906112985,4.56497912561619,4.61050493885608,4.58256306313399,4.60498558905113,4.64684755792875,1.74138508234022,20.2696094933502,4.56994690355585,1.57069708411767,1.57897870494939
"01/09/2011",4.32837679014398,4.4917741384123,5.42446091110424,2.55948058479274,4.54086107853319,4.21102727748871,4.57623379646856,4.54102333192562,4.55862340642362,4.5669983714283,4.60104107021073,4.62975684662429,1.69237887702369,20.2820808665891,4.54437938387698,1.56444054650336,1.56861591791385
"01/10/2011",4.33510157904517,4.48504904409037,5.42239609821118,2.6012664509042,4.54780216194616,4.41338625391248,4.62202566981818,4.56294406562354,4.62462176049598,4.60682126021458,4.65279054048263,4.61404651456466,1.60811682818645,20.2948361697904,4.57921200860082,1.56653041142282,1.57069708411767
"01/11/2011",4.34585958114262,4.47429127242859,5.42155218088267,2.61269868711031,4.54718550146876,4.80665731262505,4.61957874731513,4.60328429371061,4.58458204787105,4.60618372218671,4.69008178197981,4.55842724030614,1.60166355427426,20.3309697153465,4.61594065865083,1.56861591791385,1.57069708411767
"01/12/2011",4.35404355184419,4.46610694946114,5.41908261764289,2.62115518097922,4.55264128644954,4.7568801766123,4.59364156214654,4.58402915889235,4.61819862509663,4.54409813268912,4.68044121652712,4.53498761061976,1.50558854996449,20.4534118161478,4.59324715551387,1.56861591791385,1.57069708411767
"01/01/2012",4.36109725344384,4.50021958630323,5.42347315653383,2.60303777300303,4.5586704368145,4.55180203151367,4.57914773164501,4.53438946761205,4.62751441205658,4.56679642335094,4.56863990087338,4.52493167581316,1.58509270414187,20.4012597429014,4.55045091648612,1.56653041142282,1.56861591791385
"01/02/2012",4.36312810002275,4.49818946962478,5.42786646535571,2.54955453994456,4.56145526097668,4.46567339133817,4.57069318715376,4.53322012944343,4.57361584948081,4.57244402006896,4.57565475053619,4.51198745497891,1.66394651607032,20.3828065781048,4.544139942362,1.56444054650336,1.56861591791385
"01/03/2012",4.36370211997335,4.4976150416713,5.43543233050391,2.54600958856519,4.5565770324108,4.46654276205344,4.62245501098447,4.58754426732584,4.64567114370154,4.64192743461044,4.56698066326316,4.57016303909132,1.50817762821567,20.4000926522056,4.59604313145595,1.56234630490025,1.56653041142282
"01/04/2012",4.36056011415732,4.50075699925027,5.43844880586818,2.56888008356418,4.56419119997865,4.50144307770493,4.57839877136272,4.55096782425898,4.59454886543668,4.56391606259277,4.59661927049233,4.56190954757895,1.58062376346947,20.4116242923578,4.55890944451018,1.55603713570699,1.56024766824333
"01/05/2012",4.35739858029333,4.5039189932633,5.43727463743583,2.60679974608019,4.56597416053007,4.62481709331741,4.62717546703297,4.59703357113522,4.63477557937726,4.6252837649338,4.62500178933505,4.62182676279033,1.54195059988145,20.4261520480311,4.6083126482774,1.56024766824333,1.56444054650336
"01/06/2012",4.3619982321899,4.49931955024103,5.43580716433923,2.63777078808979,4.56549649025369,4.74737440791696,4.61385197495836,4.58754080513023,4.59992228410773,4.62972334300133,4.58588930987809,4.64657082809953,1.55842373908865,20.4340067496601,4.60201796475497,1.56024766824333,1.56444054650336
"01/07/2012",4.36759674110314,4.49372005509234,5.43417604893165,2.59446334913973,4.56815759314178,4.60006881640038,4.62388182621738,4.58390587557344,4.60875159209026,4.59648653206187,4.68556767964072,4.66375478012705,1.6078423862589,20.4318710314898,4.59824921703921,1.56444054650336,1.56653041142282
"01/08/2012",4.37059327596582,4.49072407659527,5.43972577883437,2.57862465366175,4.56405408572298,4.35917090520837,4.62448426160939,4.59105551645421,4.62229585597817,4.62131845797956,4.62468275357396,4.6663221012315,1.67293432013504,20.4192643712888,4.59611592782385,1.56653041142282,1.56861591791385
"01/09/2012",4.37499092878921,4.48632583733826,5.44417806495026,2.56395655710601,4.5639620752679,4.18111525920896,4.60170063896471,4.54600649204666,4.58152815843245,4.58586472357697,4.64414535746002,4.64591154717757,1.59029679041505,20.40660838892,4.5558630036578,1.56861591791385,1.57277392806251
"01/10/2012",4.38003760937391,4.48128016560285,5.44378906415871,2.5551165581628,4.56620989492203,4.44826056088565,4.64170642608873,4.62173356473573,4.61641732611557,4.64100301867279,4.66700028892011,4.64009047614014,1.6155146078653,20.422463353777,4.6235913624615,1.57277392806251,1.57691472072854
"01/11/2012",4.3868081412796,4.47450895621697,5.43903971714875,2.57163465329782,4.57110003389326,4.92274498404902,4.62935982235103,4.64227979155181,4.60465402149812,4.61862186116301,4.68153949375122,4.59103390827405,1.61892258637106,20.4470080527631,4.64810604711722,1.57691472072854,1.5810384379124
"01/12/2012",4.3891045679024,4.47633631414462,5.43634301983662,2.55466589420285,4.57424293084183,4.8489688121422,4.57244589028149,4.61720981886757,4.6230006325588,4.52869327617748,4.62065406757945,4.53360953192457,1.48056896399038,20.5553152509096,4.61047358308414,1.57691472072854,1.5810384379124
