Date,Frontera.norte,Noroeste,Noreste,Centro.norte,Centro.sur,Sur,Mexico,Nacional
01/09/2010,75.4806182172,74.9553427189,75.1938183221,72.9089223162,73.1507266405,73.8594742537,72.1453605212,73.51511019
01/10/2010,75.7126170218,75.2833354951,76.390618979,73.1107115882,73.6785904151,75.1665407106,72.366173964,73.96892635
01/11/2010,77.5206647131,78.9076556724,76.6435482788,73.4282480061,73.9715119558,75.3295407887,72.6718767853,74.56158125
01/12/2010,77.8116275845,79.1642306667,76.810720434,73.8323387055,74.3561920514,75.6478763644,73.1291677824,74.93095445
01/01/2011,78.2125954169,79.5842424723,77.2111486357,74.2776279525,74.7856620991,76.0295390033,73.3690153237,75.29599135
01/02/2011,78.4075226311,80.0182488991,77.479632892,74.4680378153,75.1502229114,76.243567753,73.6945523865,75.57846024
01/03/2011,78.5759397441,80.2673860436,77.6011816384,74.6917879264,75.2232841785,76.3240182759,73.8235941051,75.72345093
01/04/2011,78.151778126,80.4966874281,77.0580587588,74.9281332425,75.2717431822,75.7456852715,74.1483979764,75.71744095
01/05/2011,75.8110921382,75.7583211013,76.9472801545,74.7799543609,75.2851625986,75.8610482855,74.0508834959,75.15926438
01/06/2011,75.6473532783,75.7670488356,76.9595888883,74.7666182616,75.2799439367,75.9521243492,74.0714128602,75.15550814
01/07/2011,75.9561179855,76.0130122585,77.2134565232,75.1570696144,75.7198025855,76.2481215562,74.4878656793,75.51610674
01/08/2011,76.0379874155,76.0868012854,77.3696235835,75.2822807693,75.940477433,76.4454530275,74.5369895154,75.63555502
01/09/2011,76.2664421105,76.3446661642,77.5350221942,75.49417657,76.1149298463,76.5744774511,74.7070899626,75.82111305
01/10/2011,77.4297677247,76.640615702,78.5681865389,75.6890317992,76.5167668153,77.6537288058,74.8955201994,76.3327123
01/11/2011,79.9942301545,81.7550680367,78.9997615183,76.0009483448,76.7448968942,77.8601678835,75.2885108879,77.15833283
01/12/2011,80.6382696701,82.3834649105,79.4613390364,76.6381175355,77.391265451,78.4339470848,76.0165701298,77.79238536
