Date,Actividades.Primarioas,Actividades.Secundarias,Actividades.Terciarias,Mineria,Manufactura,Construccion,Energia,Desempleo
1/11/2007,129.3898193,98.23053059,89.60645242,102.2819,95.7371,102.0649,86.3868,3.35402533
1/12/2007,110.0116088,96.95519689,89.12114068,107.0221,88.3571,108.4462,83.1533,3.10613687
1/1/2008,104.5406612,98.4140065,86.20442768,108.7261,94.8437,99.2217,83.3625,4.11706185
1/2/2008,88.11234125,96.94031393,84.7006185,101.9502,94.2596,100.5515,83.6503,3.88859328
1/3/2008,76.0900594,97.25386475,85.23766763,107.0124,93.5402,98.4663,84.3247,3.61456657
1/4/2008,85.97136723,100.2676566,92.13026559,101.1115,99.5624,104.0946,84.7407,3.47955511
1/5/2008,105.9371524,99.57943052,91.73673957,105.2429,97.3215,101.0015,89.5954,3.29491468
1/6/2008,108.3442381,99.22912315,91.15464676,102.8919,97.0521,102.2057,90.136,3.36795461
1/7/2008,99.34700631,99.11790844,91.19559877,104.0033,94.4908,105.9083,91.197,4.13338526
1/8/2008,67.55143423,98.25707065,89.01373672,103.7075,95.9243,99.1327,92.7819,4.05671164
1/9/2008,64.13307813,97.19809717,88.30085062,98.4985,95.9735,100.1464,89.3561,4.14089721
1/10/2008,89.3707924,101.7996458,92.38681336,104.537,99.9239,105.8719,88.4645,4.17178615
1/11/2008,121.7278934,94.39428591,89.26499453,99.7209,91.1785,98.1787,84.3977,4.32293494
1/12/2008,125.2413032,93.1152355,89.54943726,102.0256,85.5104,103.6323,79.1241,4.02480419
1/1/2009,103.7931385,90.1094698,81.10227836,103.8218,82.4863,95.112,80.9703,5.00904125
1/2/2009,81.45283165,85.55696479,79.83559443,93.309,80.1472,90.9061,79.4998,5.23817316
1/3/2009,79.30490871,90.92574674,85.04687862,102.8443,84.6328,94.1319,85.131,4.66487867
1/4/2009,88.78047511,88.45400144,81.8275496,98.6495,81.8986,93.6137,83.8846,5.05535586
1/5/2009,100.3716133,89.43019188,83.53657709,101.4309,81.3825,95.3005,88.5596,5.23171387
1/6/2009,107.9747108,89.34387345,86.55492478,95.5665,83.446,95.6629,90.8599,4.97563651
1/7/2009,92.77636079,92.03559384,86.7273856,98.0466,85.6105,99.6045,93.9173,5.82153796
1/8/2009,69.68594943,90.78202482,85.0994745,97.3091,85.8234,94.233,95.1694,6.14570455
1/9/2009,64.02743191,91.46259584,84.93425993,95.2645,87.2963,96.2768,93.6016,6.41981154
